title,videoId,url,date,category
"שיעור הכנה לתענית אסתר תשפ""ד",_Ck9qfOlP7U,https://www.youtube.com/watch?v=_Ck9qfOlP7U,2024-03-21,שיעורים כלליים
"ליל משמר - לימוד הכנה מיוחד לפורים - תשפ""ד",CtiKD2S6yNs,https://www.youtube.com/watch?v=CtiKD2S6yNs,2024-03-22,שיעורים כלליים
דרש פרשת ויקרא,52objAQgXCI,https://www.youtube.com/watch?v=52objAQgXCI,2024-03-24,שיעורים כלליים
ליל פורים- קריאה ראשונה במגילה,IjQILpn-_pE,https://www.youtube.com/watch?v=IjQILpn-_pE,2024-03-24,שיעורים כלליים
פורים- קריאה שניה במגילה,GwGLAfve1WM,https://www.youtube.com/watch?v=GwGLAfve1WM,2024-03-25,שיעורים כלליים
פרשת צו שיעור מס' 1 - הנתיבות שלום,zmsvKyLz3u4,https://www.youtube.com/watch?v=zmsvKyLz3u4,2024-03-28,שיעורים כלליים
הרב אסף פלג הקדמה לספר הזוהר שיעור 34,noYtM-AkIUI,https://www.youtube.com/watch?v=noYtM-AkIUI,2024-03-28,שיעורים כלליים
המאור עיניים - פרשת צו - שיעור מס' 02,66bavJTBbeI,https://www.youtube.com/watch?v=66bavJTBbeI,2024-03-28,שיעורים כלליים
המאור עיניים - פרשת צו - שיעור מס' 01,jZpCRjV-gVM,https://www.youtube.com/watch?v=jZpCRjV-gVM,2024-03-28,שיעורים כלליים
דרש פרשת צו,OwJdBiLEq1g,https://www.youtube.com/watch?v=OwJdBiLEq1g,2024-03-31,שיעורים כלליים
להבין - ביאור עבודת הקורבנות - שיעור מס' 3,pxeM6iwRGIw,https://www.youtube.com/watch?v=pxeM6iwRGIw,2024-04-01,עבודת הקורבנות
"להבין"" - ביאור עבודת הקורבן -"" שיעור מס 2",JrIpWp2Kjvs,https://www.youtube.com/watch?v=JrIpWp2Kjvs,2024-04-01,שיעורים כלליים
"""להבין"" - ביאור עבודת הקורבנות - שיעור מס' 1",saWsm4b8Y8k,https://www.youtube.com/watch?v=saWsm4b8Y8k,2024-04-01,עבודת הקורבנות
פרשת שמיני שיעור מס' 01 - הנתיבות שלום,b2tXKE2vrpE,https://www.youtube.com/watch?v=b2tXKE2vrpE,2024-04-03,שיעורים כלליים
להבין - ביאור עבודת הקורבנות - שיעור מס' 4,Oi_SKTz4Gxc,https://www.youtube.com/watch?v=Oi_SKTz4Gxc,2024-04-03,עבודת הקורבנות
מאור עיניים - פרשת שמיני שיעור מס' 01,ygbLR_WpNy8,https://www.youtube.com/watch?v=ygbLR_WpNy8,2024-04-03,שיעורים כלליים
הרב אסף פלג הקדמה לספר הזוהר שיעור 35,Gb1AXICdXeg,https://www.youtube.com/watch?v=Gb1AXICdXeg,2024-04-04,שיעורים כלליים
משמר זוהר ליל שישי- פרשת שמיני,9WuYrCDvg5A,https://www.youtube.com/watch?v=9WuYrCDvg5A,2024-04-05,שיעורים כלליים
דרש פרשת שמיני,hg6xa3LcigM,https://www.youtube.com/watch?v=hg6xa3LcigM,2024-04-07,שיעורים כלליים
שיעור הכנה לחודש ניסן,yK-7OMB3eyY,https://www.youtube.com/watch?v=yK-7OMB3eyY,2024-04-08,שיעורים כלליים
פרשת תזריע שיעור מס' 01 - הנתיבות שלום,PaN5eZS_3Pc,https://www.youtube.com/watch?v=PaN5eZS_3Pc,2024-04-10,שיעורים כלליים
"""להבין"" - ביאור עבודת הקורבנות - שיעור מס' 5",EHBGzakavkU,https://www.youtube.com/watch?v=EHBGzakavkU,2024-04-10,עבודת הקורבנות
פרשת תזריע שיעור מס' 3 - הנתיבות שלום,2ORE9UcSGBQ,https://www.youtube.com/watch?v=2ORE9UcSGBQ,2024-04-11,שיעורים כלליים
פרשת תזריע שיעור מס' 2 - הנתיבות שלום,ootgK2lXgQM,https://www.youtube.com/watch?v=ootgK2lXgQM,2024-04-11,שיעורים כלליים
שיעור הכנה לחודש ניסן מתוך מפגש ראש חודש,cSHInAeRUYk,https://www.youtube.com/watch?v=cSHInAeRUYk,2024-04-11,שיעורים כלליים
משמר זוהר ליל שישי - פרשת תזריע,UHAFZKB-94I,https://www.youtube.com/watch?v=UHAFZKB-94I,2024-04-12,שיעורים כלליים
פרשת תזריע שיעור מס' 04 - הנתיבות שלום,DPhjxLE2XVE,https://www.youtube.com/watch?v=DPhjxLE2XVE,2024-04-12,שיעורים כלליים
דרש פרשת תזריע,nRVBrbo_j3o,https://www.youtube.com/watch?v=nRVBrbo_j3o,2024-04-14,שיעורים כלליים
פרשת מצורע שיעור מס' 1 - הנתיבות שלום,bSakochw5ZQ,https://www.youtube.com/watch?v=bSakochw5ZQ,2024-04-17,שיעורים כלליים
המאור עיניים - פרשת מצורע שיעור מס' 01,9umpH4ghz58,https://www.youtube.com/watch?v=9umpH4ghz58,2024-04-17,שיעורים כלליים
פרשת מצורע שיעור מס' 2 -  הנתיבות שלום,vG4mlZlG4mA,https://www.youtube.com/watch?v=vG4mlZlG4mA,2024-04-18,שיעורים כלליים
המאור עיניים - פרשת מצורע שיעור מס' 02,yRi9p6rYruY,https://www.youtube.com/watch?v=yRi9p6rYruY,2024-04-18,שיעורים כלליים
הכנה לפסח 2,tDN0byRiM8s,https://www.youtube.com/watch?v=tDN0byRiM8s,2024-04-18,שיעורים כלליים
דרש פרשת מצורע,Mv8IITnBC2Q,https://www.youtube.com/watch?v=Mv8IITnBC2Q,2024-04-21,שיעורים כלליים
שיעור ספירת העומר 1,vdQNevsjQk8,https://www.youtube.com/watch?v=vdQNevsjQk8,2024-04-26,שיעורים כלליים
דרש לשביעי של פסח והכנה לשביעי של פסח,eAZ5xnk7XxE,https://www.youtube.com/watch?v=eAZ5xnk7XxE,2024-04-28,שיעורים כלליים
המאור עיניים - פרשת מצורע שיעור מס' 03,EQFvLyFd1NM,https://www.youtube.com/watch?v=EQFvLyFd1NM,2024-05-01,שיעורים כלליים
המאור עיניים - פרשת מצורע שיעור מס' 04,WLZGFySCD4s,https://www.youtube.com/watch?v=WLZGFySCD4s,2024-05-01,שיעורים כלליים
ספירת העומר - 3 ימים לעומר תפארת שבחסד,bTCrDPg4wq4,https://www.youtube.com/watch?v=bTCrDPg4wq4,2024-05-02,שיעורים כלליים
הרב אסף פלג הקדמה לספר הזוהר שיעור 36,CIUIc0FduKU,https://www.youtube.com/watch?v=CIUIc0FduKU,2024-05-02,שיעורים כלליים
